name_product,hydration,longevity
데이지크_워터블러틴트_칠링,1.6,3
데이지크_워터블러틴트_피치듀,2,2
데이지크_워터블러틴트_피치에이드,1,2.75
데이지크_쥬시듀이틴트_러브코랄,3,2
데이지크_쥬시듀이틴트_멜론샤벳,3,1.666666667
데이지크_쥬시듀이틴트_모브무드,3,3
데이지크_쥬시듀이틴트_모브베리,2.777777778,2
데이지크_쥬시듀이틴트_베리모찌,2,2.333333333
데이지크_쥬시듀이틴트_베리슈,2,2
데이지크_쥬시듀이틴트_사쿠라파르페,3,2
데이지크_쥬시듀이틴트_스위티핑크,2.75,2
데이지크_쥬시듀이틴트_오렌지콕,3,2.5
데이지크_쥬시듀이틴트_체리소다,2.25,1
데이지크_쥬시듀이틴트_칠리셔벗,2.5,2.5
데이지크_쥬시듀이틴트_코랄피즈,2.4,2.5
데이지크_쥬시듀이틴트_파파야밀크,2.333333333,1.8
데이지크_쥬시듀이틴트_플럼듀,2.555555556,2
데이지크_쥬시듀이틴트_피그베리,2.8,3
데이지크_쥬시듀이틴트_피그플럼,2,2.2
데이지크_쥬시듀이틴트_피치크러쉬,3,2
데이지크_쥬시듀이틴트_피치푸딩,2.5,2
데이지크_쥬시듀이틴트_핑크구아바,3,2.428571429
데이지크_크림드버터틴트_모브크림,1.894736842,2
데이지크_크림드버터틴트_솔티드버터,1.807692308,1.947368421
데이지크_크림드버터틴트_카라멜브릭,2.4,1.961538462
데이지크_크림드버터틴트_카라멜브릭 ,1.8125,2.4
데이지크_크림드버터틴트_코튼플럼,1.931034483,2.25
데이지크_푸르티립잼_라즈베리잼,3,2.310344828
데이지크_푸르티립잼_무화과잼,3,2
데이지크_푸르티립잼_복숭아잼,3,2
데이지크_푸르티립잼_애플잼,3,1
데이지크_푸르티립잼_쥬쥬브잼,3,1.5
데이지크_푸르티립잼_크랜베리잼,2.333333333,1.5
딘토_블러글로이립틴트_그라티아,2.333333333,1.333333333
딘토_블러글로이립틴트_노빌리타스,3,2.5
딘토_블러글로이립틴트_데보티오,3,2
딘토_블러글로이립틴트_데코럼,3,3
딘토_블러글로이립틴트_디그니타스,2.5,1.666666667
딘토_블러글로이립틴트_디비니타스,2.875,2.25
딘토_블러글로이립틴트_레베렌티아,2.454545455,2.5
딘토_블러글로이립틴트_리베르타스,2.333333333,2.363636364
딘토_블러글로이립틴트_메멘토모리,2.857142857,2.333333333
딘토_블러글로이립틴트_모데스티아,2.5,2.142857143
딘토_블러글로이립틴트_무니아,2.857142857,2.5
딘토_블러글로이립틴트_베누스,2.5,2.571428571
딘토_블러글로이립틴트_베니아,3,2.5
딘토_블러글로이립틴트_보눔,2.25,2.666666667
딘토_블러글로이립틴트_수이파마,2.857142857,2
딘토_블러글로이립틴트_스페스,3,2.428571429
딘토_블러글로이립틴트_아모르파티,2.285714286,3
딘토_블러글로이립틴트_아베마리아,2.619047619,2.285714286
딘토_블러글로이립틴트_유스티티아,2.72,2.047619048
딘토_블러글로이립틴트_코르,3,2.64
딘토_블러글로이립틴트_코지타티오,2.65,2
딘토_블러글로이립틴트_테메트노스케,2.636363636,2.4
딘토_블러글로이립틴트_테오볼렌테,2.666666667,2.454545455
딘토_블러글로이립틴트_팍스,2.6,2.5
딘토_블러글로이립틴트_팍스로마나,3,2.2
딘토_블러글로이립틴트_피데스,2.75,1.5
딘토_블러글로이립틴트_피덴티아,2.666666667,2.5
딘토_블러글로이립틴트_피아트룩스,2.5,2.416666667
라카_프루티글램틴트_듀이,2.928571429,2.25
라카_프루티글램틴트_어도어,2.857142857,2.642857143
라카_프루티글램틴트_엔비,2.4,2.571428571
라카_프루티글램틴트_조이풀,2.545454545,2.2
라카_프루티글램틴트_체리,2.333333333,2.454545455
라카_프루티글램틴트_카페인로즈,2.428571429,2.666666667
라카_프루티글램틴트_캔디드,2.333333333,2.142857143
라카_프루티글램틴트_콜드,2.714285714,1.777777778
레미유_코튼플러피틴트_더스티모브,1,2.571428571
레미유_코튼플러피틴트_번트브라운,1,3
레미유_코튼플러피틴트_빈티지로즈,1.777777778,2
레미유_코튼플러피틴트_페이디드레드,2.222222222,1.777777778
롬앤_블러퍼지틴트_로지엔탈,2.2,2.555555556
롬앤_블러퍼지틴트_머스키,1,2.4
롬앤_블러퍼지틴트_모비쉬,2.2,3
롬앤_블러퍼지틴트_배드베리,1.588235294,2.6
롬앤_블러퍼지틴트_베리피즈,1,2.470588235
롬앤_블러퍼지틴트_언로즈,1.833333333,3
롬앤_블러퍼지틴트_웜밍업,1.625,1.833333333
롬앤_블러퍼지틴트_쿨로즈업,1.666666667,2.5
롬앤_블러퍼지틴트_쿨링업,1.9,2.5
롬앤_블러퍼지틴트_포멜로코,2,2.5
롬앤_블러퍼지틴트_피치다운,1.555555556,3
롬앤_쥬시래스팅틴트_그레이프밤,2.8,2.333333333
롬앤_쥬시래스팅틴트_누카다미아,2,2.4
롬앤_쥬시래스팅틴트_다크코코넛,2.5,2
롬앤_쥬시래스팅틴트_도토리밤,3,2
롬앤_쥬시래스팅틴트_드래곤핑크,3,2.666666667
롬앤_쥬시래스팅틴트_멀드피치,2,2
롬앤_쥬시래스팅틴트_멜로우페어,2.666666667,2.666666667
롬앤_쥬시래스팅틴트_베어그레이프,2.75,2.666666667
롬앤_쥬시래스팅틴트_베어애프리콧,2.333333333,2.5
롬앤_쥬시래스팅틴트_베어에프리콧,2,2.333333333
롬앤_쥬시래스팅틴트_베어쥬시오,2.666666667,2
롬앤_쥬시래스팅틴트_베어피그,2.833333333,2.333333333
롬앤_쥬시래스팅틴트_브리즈피그,2.666666667,2.5
롬앤_쥬시래스팅틴트_썸머센트,2,2.666666667
롬앤_쥬시래스팅틴트_오드그레이프,3,3
롬앤_쥬시래스팅틴트_쥬쥬브,3,2.25
롬앤_쥬시래스팅틴트_쥬쥬피그,2.285714286,3
롬앤_쥬시래스팅틴트_체리밤,2.6,2.428571429
롬앤_쥬시래스팅틴트_코니소다,3,2.8
롬앤_쥬시래스팅틴트_파파야잼,3,3
롬앤_쥬시래스팅틴트_포멜로스킨,2.75,2.6
롬앤_쥬시래스팅틴트_플럼콕,3,2
