File Name,Saturation
네이밍_프라임포그립틴트_그레이트풀.png,87.0
네이밍_프라임포그립틴트_뉴데이.png,64.0
네이밍_프라임포그립틴트_렛인.png,61.0
네이밍_프라임포그립틴트_리썸.png,63.0
네이밍_프라임포그립틴트_아웃윗.png,70.0
네이처리퍼블릭_허니멜팅립_고소한코코넛.png,57.0
네이처리퍼블릭_허니멜팅립_무화과한스푼.png,38.0
네이처리퍼블릭_허니멜팅립_블랙체리슈.png,61.0
네이처리퍼블릭_허니멜팅립_살구가득.png,56.0
네이처리퍼블릭_허니멜팅립_상큼달콤리치.png,55.0
네이처리퍼블릭_허니멜팅립_석류듬뿍.png,72.0
네이처리퍼블릭_허니멜팅립_여리베리.png,60.0
네이처리퍼블릭_허니멜팅립_잘익은자두.png,63.0
네이처리퍼블릭_허니멜팅립_쫀득복숭아.png,51.0
네이처리퍼블릭_허니멜팅립_탱글포도.png,73.0
누즈_무스립추얼_러비코랄.png,68.0
누즈_무스립추얼_모브레인.png,52.0
누즈_무스립추얼_무스비레드.png,68.0
누즈_무스립추얼_베어베이지.png,56.0
누즈_무스립추얼_키치핑크.png,60.0
누즈_무스립추얼_플럼미.png,75.0
누즈_컬러케어립밤_모브무브.png,63.0
누즈_컬러케어립밤_쏘레드.png,85.0
누즈_컬러케어립밤_카밍코랄.png,83.0
누즈_컬러케어립밤_프렌치누드.png,67.0
누즈_컬러케어립밤_헤이우디.png,74.0
누즈_케어립추얼_디핀체리.png,64.0
누즈_케어립추얼_레디쉬허.png,58.0
누즈_케어립추얼_몰튼피넛.png,49.0
누즈_케어립추얼_바이선셋.png,57.0
누즈_케어립추얼_쿨리쉬.png,58.0
누즈_케어립추얼_쿨베이브.png,47.0
누즈_케어립추얼_탠드아워.png,51.0
누즈_케어립추얼_포지로지.png,56.0
누즈_케어립추얼_핀베리.png,61.0
더샘_새미스시럽샷멜팅밤_그레이프잼.png,48.0
더샘_새미스시럽샷멜팅밤_누가피넛.png,46.0
더샘_새미스시럽샷멜팅밤_애플샤워.png,63.0
더샘_새미스시럽샷멜팅밤_피그뮬리.png,58.0
