name_product,longevity
데이지크_쥬시듀이틴트_플럼듀,3.0
데이지크_쥬시듀이틴트_피그베리,2.2
데이지크_쥬시듀이틴트_피그플럼,2.0
데이지크_쥬시듀이틴트_피치크러쉬,2.0
데이지크_쥬시듀이틴트_피치푸딩,2.4285714285714284
데이지크_쥬시듀이틴트_핑크구아바,2.0
데이지크_크림드버터틴트_모브크림,1.9473684210526316
데이지크_크림드버터틴트_솔티드버터,1.9615384615384615
데이지크_크림드버터틴트_카라멜브릭,2.4
데이지크_크림드버터틴트_카라멜브릭 ,2.25
데이지크_크림드버터틴트_코튼플럼,2.310344827586207
데이지크_푸르티립잼_라즈베리잼,2.0
데이지크_푸르티립잼_무화과잼,2.0
데이지크_푸르티립잼_복숭아잼,1.0
데이지크_푸르티립잼_애플잼,1.5
데이지크_푸르티립잼_쥬쥬브잼,1.5
데이지크_푸르티립잼_크랜베리잼,1.3333333333333333
딘토_블러글로이립틴트_그라티아,2.5
딘토_블러글로이립틴트_노빌리타스,2.0
딘토_블러글로이립틴트_데보티오,3.0
딘토_블러글로이립틴트_데코럼,1.6666666666666667
딘토_블러글로이립틴트_디그니타스,2.25
딘토_블러글로이립틴트_디비니타스,2.5
딘토_블러글로이립틴트_레베렌티아,2.3636363636363638
딘토_블러글로이립틴트_리베르타스,2.3333333333333335
딘토_블러글로이립틴트_메멘토모리,2.142857142857143
딘토_블러글로이립틴트_모데스티아,2.5
딘토_블러글로이립틴트_무니아,2.5714285714285716
딘토_블러글로이립틴트_베누스,2.5
딘토_블러글로이립틴트_베니아,2.6666666666666665
딘토_블러글로이립틴트_보눔,2.0
딘토_블러글로이립틴트_수이파마,2.4285714285714284
딘토_블러글로이립틴트_스페스,3.0
딘토_블러글로이립틴트_아모르파티,2.2857142857142856
딘토_블러글로이립틴트_아베마리아,2.0476190476190474
딘토_블러글로이립틴트_유스티티아,2.64
딘토_블러글로이립틴트_코르,2.0
딘토_블러글로이립틴트_코지타티오,2.4
딘토_블러글로이립틴트_테메트노스케,2.4545454545454546
딘토_블러글로이립틴트_테오볼렌테,2.5
딘토_블러글로이립틴트_팍스,2.2
딘토_블러글로이립틴트_팍스로마나,1.5
딘토_블러글로이립틴트_피데스,2.5
딘토_블러글로이립틴트_피덴티아,2.4166666666666665
