File Name,Color Index,Red,Green,Blue,Max Proportion,HEX,PCCS
3CE_샤인리플렉터_OPALSHOWER.png,1,198,147,146,72.80%,#c69392,RPB
3CE_샤인리플렉터_RAINORSHINE.png,1,199,103,110,99.17%,#c7676e,RPB
3CE_샤인리플렉터_SOFTEST.png,1,204,131,124,100.00%,#cc837c,RPB
3CE_소프트매트립스틱_CHILLMOVE.png,1,143,76,71,100.00%,#8f4c47,
3CE_소프트매트립스틱_ETERNALWARM.png,1,175,112,91,82.37%,#af705b,
3CE_소프트매트립스틱_FOCUSONME.png,1,208,114,97,80.91%,#d07261,RPB
3CE_소프트매트립스틱_GIVINGPLEASURE.png,1,200,105,85,61.66%,#c86955,
3CE_소프트매트립스틱_HAZYROSE.png,1,163,83,82,61.88%,#a35352,
3CE_소프트매트립스틱_KINDNLOVE.png,1,209,126,104,100.00%,#d17e68,RPB
3CE_소프트매트립스틱_MURMURING.png,1,208,129,117,100.00%,#d08175,RPB
3CE_소프트매트립스틱_ORANGEBREEZE.png,1,169,90,68,97.44%,#a95a44,
3CE_소프트매트립스틱_REDMUSE.png,1,204,78,71,95.65%,#cc4e47,
3CE_소프트매트립스틱_SENSUALBREEZE.png,1,178,106,94,95.10%,#b26a5e,
3CE_소프트매트립스틱_SMOKEPINK.png,1,196,97,91,99.41%,#c4615b,
3CE_소프트매트립스틱_SOFTMELLOW.png,1,189,106,84,94.50%,#bd6a54,
3CE_소프트매트립스틱_SPEAKTOME.png,1,168,77,65,97.86%,#a84d41,
3CE_소프트매트립스틱_UNSTAINEDRED.png,1,175,84,70,70.54%,#af5446,
3CE_소프트매트립스틱_WARMISHMOVE.png,1,192,121,90,97.10%,#c0795a,
3CE_소프트매트립스틱_WARNINGWEAR.png,1,212,128,96,100.00%,#d48060,
3CE_소프트매트립스틱_WAYBACK.png,1,181,118,102,78.64%,#b57666,PB
3CE_헤이지립클레이_BUTTERBEIGE.png,1,188,98,80,81.69%,#bc6250,
3CE_헤이지립클레이_CHERRYFLUFF.png,1,174,68,81,71.60%,#ae4451,
3CE_헤이지립클레이_COMMONSTRANGER.png,1,176,72,62,87.04%,#b0483e,
3CE_헤이지립클레이_FIGGY.png,1,137,60,76,100.00%,#893c4c,
3CE_헤이지립클레이_HIPAMINE.png,1,148,64,62,99.07%,#94403e,
3CE_헤이지립클레이_MAUVROWN.png,1,180,92,101,99.83%,#b45c65,PB
3CE_헤이지립클레이_PAINTINGCOT.png,1,170,64,66,94.08%,#aa4042,
3CE_헤이지립클레이_PLUMPUDDING.png,1,121,33,52,98.15%,#792134,
3CE_헤이지립클레이_TYPEGIRL.png,1,176,68,94,94.78%,#b0445e,
3CE_헤이지립클레이_WARMBROWNIE.png,1,140,78,65,99.97%,#8c4e41,
3CE_헤이지립클레이_WHIPRED.png,1,161,50,53,97.26%,#a13235,
네이밍_듀이글래스립틴트_데어.png,1,213,99,73,79.64%,#d56349,
네이밍_듀이글래스립틴트_리플.png,1,229,82,62,100.00%,#e5523e,R
네이밍_듀이글래스립틴트_어바이드.png,1,134,49,57,99.80%,#863139,
네이밍_듀이글래스립틴트_컴리.png,1,215,44,63,50.64%,#d72c3f,
네이밍_듀이글래스립틴트_페르소나.png,1,231,90,107,99.67%,#e75a6b,RPB
네이밍_듀이글래스립틴트_페얼리.png,1,73,8,26,100.00%,#49081a,
네이밍_듀이글래스립틴트_하운드.png,1,149,73,88,100.00%,#954958,
네이밍_프라임포그립틴트_그레이트풀.png,1,101,13,23,54.60%,#650d17,
네이밍_프라임포그립틴트_뉴데이.png,1,163,76,58,99.34%,#a34c3a,
네이밍_프라임포그립틴트_렛인.png,1,173,68,70,40.13%,#ad4446,
네이밍_프라임포그립틴트_리썸.png,1,146,54,55,50.14%,#923637,
네이밍_프라임포그립틴트_아웃윗.png,1,128,39,43,76.94%,#80272b,
네이처리퍼블릭_허니멜팅립_고소한코코넛.png,1,191,96,83,77.32%,#bf6053,
네이처리퍼블릭_허니멜팅립_무화과한스푼.png,1,253,167,157,99.70%,#fda79d,
네이처리퍼블릭_허니멜팅립_블랙체리슈.png,1,229,89,123,88.63%,#e5597b,RPB
네이처리퍼블릭_허니멜팅립_살구가득.png,1,218,121,96,100.00%,#da7960,
네이처리퍼블릭_허니멜팅립_상큼달콤리치.png,1,210,95,103,99.31%,#d25f67,RPB
네이처리퍼블릭_허니멜팅립_석류듬뿍.png,1,222,67,62,88.07%,#de433e,
네이처리퍼블릭_허니멜팅립_여리베리.png,1,210,83,98,91.93%,#d25362,RPB
네이처리퍼블릭_허니멜팅립_잘익은자두.png,1,143,62,53,100.00%,#8f3e35,
네이처리퍼블릭_허니멜팅립_쫀득복숭아.png,1,239,127,116,100.00%,#ef7f74,R
네이처리퍼블릭_허니멜팅립_탱글포도.png,1,180,48,98,100.00%,#b43062,
누즈_무스립추얼_러비코랄.png,1,174,55,62,100.00%,#ae373e,
누즈_무스립추얼_모브레인.png,1,132,64,72,100.00%,#844048,
누즈_무스립추얼_무스비레드.png,1,152,48,56,100.00%,#983038,
누즈_무스립추얼_베어베이지.png,1,133,59,61,83.12%,#853b3d,
누즈_무스립추얼_키치핑크.png,1,190,76,90,99.94%,#be4c5a,
누즈_무스립추얼_플럼미.png,1,107,27,39,96.91%,#6b1b27,
누즈_컬러케어립밤_모브무브.png,1,155,57,58,91.87%,#9b393a,
누즈_컬러케어립밤_쏘레드.png,1,172,26,47,98.55%,#ac1a2f,
누즈_컬러케어립밤_카밍코랄.png,1,252,59,43,100.00%,#fc3b2b,
누즈_컬러케어립밤_프렌치누드.png,1,151,58,50,100.00%,#973a32,
